"parameter","estimate","se","z","pval","OR"
"(Intercept)",-2.9455,0.0949,-31.0296,0,0.0526
"exposure",1.1589,0.1922,6.0301,0,3.1865
"GP4",-0.3029,0.115,-2.6336,0.008449,0.7387
"GP5",-0.3818,0.1187,-3.218,0.001291,0.6826
"GP6",-1.0427,0.1474,-7.0757,0,0.3525
"GP7",-1.5437,0.1789,-8.6293,0,0.2136
"GP8",-16.6876,188.5821,-0.0885,0.929487,0
"cohortC2",-0.4548,0.111,-4.0992,4.1e-05,0.6346
"hispanic",0.2131,0.0954,2.2347,0.025438,1.2375
"asian",-0.364,0.1268,-2.8714,0.004086,0.6949
"sex_min",0.2615,0.0977,2.6765,0.007439,1.2989
