"school","cohort","sch_type","n_students","n_adopters","final_prev"
101,"C1","Other",257,46,17.9
102,"C1","Hispanic-majority",245,32,13.1
103,"C1","Asian-majority",190,18,9.5
104,"C1","Other",364,93,25.5
105,"C1","Asian-majority",184,32,17.4
106,"C1","Hispanic-majority",218,41,18.8
107,"C1","Hispanic-majority",262,71,27.1
112,"C1","Asian-majority",333,72,21.6
113,"C1","Asian-majority",371,60,16.2
114,"C1","Hispanic-majority",362,126,34.8
201,"C2","Other",199,27,13.6
212,"C2","Asian-majority",314,46,14.6
213,"C2","Asian-majority",357,41,11.5
214,"C2","Hispanic-majority",296,76,25.7
