"id","toa","threshold","infectiousness","susceptibility","school","cohort","sch_type"
"101.101_101003",NA,NA,NA,NA,NA,NA,NA
"101.101_101004",NA,NA,NA,NA,NA,NA,NA
"101.101_101006",NA,NA,NA,NA,NA,NA,NA
"101.101_101008",NA,NA,NA,NA,NA,NA,NA
"101.101_101009",NA,NA,NA,NA,NA,NA,NA
"101.101_101010",5,0,0,0,NA,NA,NA
"101.101_101013",NA,NA,NA,NA,NA,NA,NA
"101.101_101014",1,0,0,0,NA,NA,NA
"101.101_101015",2,0,0,0,NA,NA,NA
"101.101_101016",NA,NA,NA,NA,NA,NA,NA
"101.101_101017",NA,NA,NA,NA,NA,NA,NA
"101.101_101019",NA,NA,NA,NA,NA,NA,NA
"101.101_101022",NA,NA,NA,NA,NA,NA,NA
"101.101_101023",NA,NA,NA,NA,NA,NA,NA
"101.101_101026",NA,NA,NA,NA,NA,NA,NA
"101.101_101029",NA,NA,NA,NA,NA,NA,NA
"101.101_101030",1,0,0,0,NA,NA,NA
"101.101_101031",NA,NA,NA,NA,NA,NA,NA
"101.101_101032",NA,NA,NA,NA,NA,NA,NA
"101.101_101034",NA,NA,NA,NA,NA,NA,NA
"101.101_101035",NA,NA,NA,NA,NA,NA,NA
"101.101_101038",5,0,0,0,NA,NA,NA
"101.101_101039",NA,NA,NA,NA,NA,NA,NA
"101.101_101040",NA,NA,NA,NA,NA,NA,NA
"101.101_101042",7,0,0,0,NA,NA,NA
"101.101_101043",NA,NA,NA,NA,NA,NA,NA
"101.101_101047",NA,NA,NA,NA,NA,NA,NA
"101.101_101049",NA,NA,NA,NA,NA,NA,NA
"101.101_101050",NA,NA,NA,NA,NA,NA,NA
"101.101_101054",NA,NA,NA,NA,NA,NA,NA
"101.101_101056",6,0,0,0,NA,NA,NA
"101.101_101057",NA,NA,NA,NA,NA,NA,NA
"101.101_101062",NA,NA,NA,NA,NA,NA,NA
"101.101_101063",NA,NA,NA,NA,NA,NA,NA
"101.101_101065",NA,NA,NA,NA,NA,NA,NA
"101.101_101067",NA,NA,NA,NA,NA,NA,NA
"101.101_101070",5,0.25,0,0,NA,NA,NA
"101.101_101071",5,0,0,0,NA,NA,NA
"101.101_101072",3,0,0,0,NA,NA,NA
"101.101_101075",NA,NA,NA,NA,NA,NA,NA
"101.101_101076",NA,NA,NA,NA,NA,NA,NA
"101.101_101077",NA,NA,NA,NA,NA,NA,NA
"101.101_101078",8,0,0,0,NA,NA,NA
"101.101_101079",NA,NA,NA,NA,NA,NA,NA
"101.101_101081",NA,NA,NA,NA,NA,NA,NA
"101.101_101082",NA,NA,NA,NA,NA,NA,NA
"101.101_101084",NA,NA,NA,NA,NA,NA,NA
"101.101_101086",NA,NA,NA,NA,NA,NA,NA
"101.101_101087",NA,NA,NA,NA,NA,NA,NA
"101.101_101089",NA,NA,NA,NA,NA,NA,NA
"101.101_101090",NA,NA,NA,NA,NA,NA,NA
"101.101_101091",NA,NA,NA,NA,NA,NA,NA
"101.101_101092",NA,NA,NA,NA,NA,NA,NA
"101.101_101094",NA,NA,NA,NA,NA,NA,NA
"101.101_101096",NA,NA,NA,NA,NA,NA,NA
"101.101_101097",NA,NA,NA,NA,NA,NA,NA
"101.101_101098",NA,NA,NA,NA,NA,NA,NA
"101.101_101102",6,0,0,0,NA,NA,NA
"101.101_101103",NA,NA,NA,NA,NA,NA,NA
"101.101_101104",NA,NA,NA,NA,NA,NA,NA
"101.101_101105",7,1,0,0.00806451612903225,NA,NA,NA
"101.101_101107",1,0,0,0,NA,NA,NA
"101.101_101108",NA,NA,NA,NA,NA,NA,NA
"101.101_101111",NA,NA,NA,NA,NA,NA,NA
"101.101_101115",NA,NA,NA,NA,NA,NA,NA
"101.101_101117",NA,NA,NA,NA,NA,NA,NA
"101.101_101119",5,0,0,0,NA,NA,NA
"101.101_101121",7,0.4,0,0,NA,NA,NA
"101.101_101123",NA,NA,NA,NA,NA,NA,NA
"101.101_101125",NA,NA,NA,NA,NA,NA,NA
"101.101_101126",NA,NA,NA,NA,NA,NA,NA
"101.101_101127",NA,NA,NA,NA,NA,NA,NA
"101.101_101129",NA,NA,NA,NA,NA,NA,NA
"101.101_101133",NA,NA,NA,NA,NA,NA,NA
"101.101_101134",NA,NA,NA,NA,NA,NA,NA
"101.101_101136",NA,NA,NA,NA,NA,NA,NA
"101.101_101138",6,0.25,0,0,NA,NA,NA
"101.101_101139",NA,NA,NA,NA,NA,NA,NA
"101.101_101141",NA,NA,NA,NA,NA,NA,NA
"101.101_101144",7,1,0,0,NA,NA,NA
"101.101_101145",NA,NA,NA,NA,NA,NA,NA
"101.101_101149",NA,NA,NA,NA,NA,NA,NA
