"school","cohort","sch_type","n_students","n_adopters","final_prev"
101,"C1-early","Other",257,50,19.5
102,"C1-early","Hispanic-majority",245,40,16.3
103,"C1-early","Asian-majority",190,26,13.7
104,"C1-early","Other",364,98,26.9
105,"C1-early","Asian-majority",184,36,19.6
106,"C1-late","Hispanic-majority",218,52,23.9
107,"C1-late","Hispanic-majority",262,79,30.2
112,"C1-late","Asian-majority",333,77,23.1
113,"C1-late","Asian-majority",371,61,16.4
114,"C1-late","Hispanic-majority",362,129,35.6
201,"C2","Other",199,34,17.1
212,"C2","Asian-majority",314,51,16.2
213,"C2","Asian-majority",357,45,12.6
214,"C2","Hispanic-majority",296,92,31.1
