"id_orig","id","toa","threshold","school","cohort","sch_type","female","hispanic","asian","sex_min"
"101_101010","101.101_101010",5,0,101,"C1-early","Other",0,0,0,0
"101_101014","101.101_101014",3,0,101,"C1-early","Other",0,0,0,1
"101_101030","101.101_101030",3,0,101,"C1-early","Other",0,0,0,0
"101_101038","101.101_101038",5,0,101,"C1-early","Other",0,0,0,1
"101_101042","101.101_101042",7,0,101,"C1-early","Other",0,0,0,0
"101_101056","101.101_101056",6,0,101,"C1-early","Other",0,0,0,1
"101_101070","101.101_101070",5,0.25,101,"C1-early","Other",0,1,0,1
"101_101071","101.101_101071",5,0,101,"C1-early","Other",0,0,0,0
"101_101072","101.101_101072",3,0,101,"C1-early","Other",0,1,0,0
"101_101078","101.101_101078",8,0,101,"C1-early","Other",0,0,0,0
"101_101102","101.101_101102",6,0,101,"C1-early","Other",0,0,0,1
"101_101105","101.101_101105",7,1,101,"C1-early","Other",0,0,0,0
"101_101107","101.101_101107",4,0,101,"C1-early","Other",0,0,0,0
"101_101119","101.101_101119",5,0,101,"C1-early","Other",0,0,0,0
"101_101121","101.101_101121",7,0.4,101,"C1-early","Other",0,0,0,0
"101_101138","101.101_101138",6,0.25,101,"C1-early","Other",0,0,0,0
"101_101144","101.101_101144",7,1,101,"C1-early","Other",0,1,0,0
"101_101151","101.101_101151",6,0,101,"C1-early","Other",0,0,0,0
"101_101155","101.101_101155",7,0,101,"C1-early","Other",0,0,0,0
"101_101167","101.101_101167",6,0.333333333333333,101,"C1-early","Other",0,0,0,1
"101_101169","101.101_101169",7,0,101,"C1-early","Other",0,0,0,1
"101_101170","101.101_101170",5,0.25,101,"C1-early","Other",0,0,0,1
"101_101172","101.101_101172",6,0,101,"C1-early","Other",0,0,0,0
"101_101184","101.101_101184",6,0,101,"C1-early","Other",0,0,0,0
"101_101256","101.101_101256",3,0,101,"C1-early","Other",0,0,0,0
"101_101313","101.101_101313",6,0,101,"C1-early","Other",0,0,0,0
"101_101322","101.101_101322",6,0,101,"C1-early","Other",0,0,0,1
"101_101335","101.101_101335",4,0,101,"C1-early","Other",0,0,0,0
"101_101336","101.101_101336",3,0.333333333333333,101,"C1-early","Other",0,0,0,1
"101_101350","101.101_101350",6,0,101,"C1-early","Other",0,0,0,0
"101_101365","101.101_101365",4,0,101,"C1-early","Other",0,0,0,1
"101_101394","101.101_101394",8,0,101,"C1-early","Other",0,1,0,1
"101_101397","101.101_101397",4,0.25,101,"C1-early","Other",0,0,0,0
"101_101403","101.101_101403",5,0,101,"C1-early","Other",0,0,0,1
"101_101415","101.101_101415",7,0,101,"C1-early","Other",0,0,0,1
"101_101425","101.101_101425",7,0.2,101,"C1-early","Other",0,0,0,0
"101_101450","101.101_101450",3,0,101,"C1-early","Other",0,1,0,0
"101_101470","101.101_101470",5,0,101,"C1-early","Other",0,0,0,0
"101_101471","101.101_101471",6,0,101,"C1-early","Other",0,0,0,0
"101_101473","101.101_101473",3,0,101,"C1-early","Other",0,1,0,0
"101_101502","101.101_101502",4,0,101,"C1-early","Other",0,1,0,1
"101_101511","101.101_101511",3,0,101,"C1-early","Other",0,0,0,1
"101_101522","101.101_101522",5,0,101,"C1-early","Other",0,0,0,1
"101_101525","101.101_101525",5,0.333333333333333,101,"C1-early","Other",0,0,0,0
"101_101527","101.101_101527",3,0,101,"C1-early","Other",0,0,0,0
"101_101544","101.101_101544",4,0,101,"C1-early","Other",0,0,0,0
"101_101551","101.101_101551",5,0,101,"C1-early","Other",0,1,0,1
"101_101562","101.101_101562",3,0.5,101,"C1-early","Other",0,1,0,0
"101_101569","101.101_101569",5,0,101,"C1-early","Other",0,1,0,1
"101_101596","101.101_101596",5,0,101,"C1-early","Other",0,0,1,0
"102_102009","102.102_102009",5,0,102,"C1-early","Hispanic-majority",0,0,0,0
"102_102012","102.102_102012",4,0,102,"C1-early","Hispanic-majority",0,0,0,0
"102_102020","102.102_102020",4,0,102,"C1-early","Hispanic-majority",0,0,0,0
