"toa","thr","Freq"
"Non-Adopters","Non-Adopters",77.99
"Early Adopters","Non-Adopters",0
"Early Majority","Non-Adopters",0
"Late Majority","Non-Adopters",0
"Laggards","Non-Adopters",0
"Non-Adopters","Very Low Thresh.",0
"Early Adopters","Very Low Thresh.",0
"Early Majority","Very Low Thresh.",0
"Late Majority","Very Low Thresh.",0
"Laggards","Very Low Thresh.",0
"Non-Adopters","Low Thresh.",0
"Early Adopters","Low Thresh.",4.71
"Early Majority","Low Thresh.",2.15
"Late Majority","Low Thresh.",5.49
"Laggards","Low Thresh.",1.54
"Non-Adopters","High Thresh.",0
"Early Adopters","High Thresh.",1.14
"Early Majority","High Thresh.",0.51
"Late Majority","High Thresh.",1.95
"Laggards","High Thresh.",0.46
"Non-Adopters","Very High Thresh.",0
"Early Adopters","Very High Thresh.",0.61
"Early Majority","Very High Thresh.",0.35
"Late Majority","Very High Thresh.",2.45
"Laggards","Very High Thresh.",0.66
