"parameter","estimate","se","z","pval","OR"
"(Intercept)",-3.3563,0.108,-31.0846,0,0.0349
"exposure",1.0466,0.181,5.7814,0,2.8478
"GP4",0.8711,0.1134,7.6797,0,2.3896
"GP5",0.1073,0.1318,0.8144,0.415424,1.1133
"GP6",-0.5372,0.1578,-3.4037,0.000665,0.5844
"GP7",-1.0062,0.1858,-5.4162,0,0.3656
"GP8",-16.1935,190.6636,-0.0849,0.932315,0
"cohortC2",-0.7334,0.1161,-6.3182,0,0.4803
"hispanic",0.1371,0.0914,1.5008,0.133404,1.147
"asian",-0.3972,0.1217,-3.2625,0.001104,0.6722
"sex_min",0.3351,0.0927,3.6153,3e-04,1.3981
