"toa","thr","Freq"
"Non-Adopters","Non-Adopters",80.24
"Early Adopters","Non-Adopters",0
"Early Majority","Non-Adopters",0
"Late Majority","Non-Adopters",0
"Laggards","Non-Adopters",0
"Non-Adopters","Very Low Thresh.",0
"Early Adopters","Very Low Thresh.",0
"Early Majority","Very Low Thresh.",0
"Late Majority","Very Low Thresh.",0
"Laggards","Very Low Thresh.",0
"Non-Adopters","Low Thresh.",0
"Early Adopters","Low Thresh.",4.3
"Early Majority","Low Thresh.",2.81
"Late Majority","Low Thresh.",4.07
"Laggards","Low Thresh.",1.54
"Non-Adopters","High Thresh.",0
"Early Adopters","High Thresh.",0.71
"Early Majority","High Thresh.",1.01
"Late Majority","High Thresh.",1.47
"Laggards","High Thresh.",0.46
"Non-Adopters","Very High Thresh.",0
"Early Adopters","Very High Thresh.",0.61
"Early Majority","Very High Thresh.",0.96
"Late Majority","Very High Thresh.",1.19
"Laggards","Very High Thresh.",0.63
