"parameter","estimate","se","z","pval","OR"
"(Intercept)",-3.7346,0.1559,-23.9485,0,0.0239
"exposure",0.9829,0.2243,4.3823,1.2e-05,2.6722
"GP4",-0.0501,0.146,-0.3434,0.731333,0.9511
"GP5",0.0201,0.1469,0.1369,0.891126,1.0203
"GP6",-0.6272,0.1821,-3.4433,0.000575,0.5341
"GP7",-0.7816,0.223,-3.5053,0.000456,0.4577
"GP8",-16.3799,286.5409,-0.0572,0.954414,0
"cohortC2",-0.1816,0.131,-1.387,0.165431,0.8339
"hispanic",0.2002,0.1207,1.6591,0.097096,1.2217
"asian",-0.2173,0.1484,-1.464,0.143204,0.8047
"gad",0.1069,0.0718,1.4901,0.136203,1.1129
"friends_ecig",0.3704,0.0394,9.3914,0,1.4483
"sex_min",0.3246,0.1185,2.7386,0.006171,1.3835
