"parameter","estimate","se","z","pval","OR"
"(Intercept)",-3.9041,0.1567,-24.9203,0,0.0202
"exposure",1.0037,0.2251,4.4587,8e-06,2.7284
"GP4",-0.0294,0.1464,-0.2008,0.840845,0.971
"GP5",7e-04,0.1482,0.0047,0.996256,1.0007
"GP6",-0.6178,0.1825,-3.3849,0.000712,0.5391
"GP7",-0.7699,0.2231,-3.4504,0.00056,0.4631
"GP8",-16.371,286.0498,-0.0572,0.954361,0
"cohortC2",-0.1905,0.1316,-1.4476,0.147738,0.8265
"hispanic",0.2242,0.1211,1.8508,0.064194,1.2513
"asian",-0.2311,0.1498,-1.5423,0.123001,0.7937
"mdd",0.2951,0.0753,3.9178,8.9e-05,1.3433
"friends_ecig",0.3487,0.04,8.709,0,1.4172
"sex_min",0.2454,0.1207,2.0337,0.04198,1.2781
