"parameter","estimate","se","t_value","pval","OR"
"(Intercept)",-1.85,0.4145,-4.463,1e-05,0.1572
"GP4",-0.0654,0.3435,-0.1904,0.849094,0.9367
"GP5",-0.0761,0.364,-0.2092,0.834419,0.9267
"GP6",0.1473,0.3836,0.3841,0.701089,1.1588
"GP7",0.3081,0.4215,0.731,0.465197,1.3608
"GP8",0.4636,0.4722,0.9818,0.326747,1.5897
"cohortC2",-0.3506,0.2475,-1.4167,0.157279,0.7042
"hispanic",0.5639,0.1902,2.9639,0.003204,1.7575
"asian",0.0062,0.2625,0.0236,0.98115,1.0062
"gad",-0.0026,0.1068,-0.0244,0.980539,0.9974
"friends_ecig",0.1229,0.0507,2.4236,0.015773,1.1308
"sex_min",0.1408,0.1866,0.7545,0.450986,1.1512
