"parameter","estimate","se","t_value","pval","OR"
"(Intercept)",-1.7779,0.4202,-4.2309,2.8e-05,0.169
"GP4",-0.0638,0.3484,-0.183,0.85485,0.9382
"GP5",-0.0127,0.3701,-0.0342,0.972734,0.9874
"GP6",0.1739,0.3889,0.4472,0.654943,1.1899
"GP7",0.3087,0.4273,0.7226,0.47032,1.3617
"GP8",0.4947,0.4784,1.0342,0.301605,1.6401
"cohortC2",-0.3235,0.2511,-1.2886,0.19823,0.7236
"hispanic",0.5577,0.1937,2.8796,0.004181,1.7466
"asian",0.0078,0.268,0.029,0.976854,1.0078
"mdd",-0.1338,0.1166,-1.1477,0.251714,0.8747
"friends_ecig",0.1377,0.052,2.6494,0.008361,1.1477
"sex_min",0.1878,0.191,0.9835,0.325897,1.2066
