"covariate","group","n","median","q25","q75","mean","sd","test","test_p"
"hispanic_f","Non-Hispanic",450,0,0,0.25,0.1505,0.249,"wilcox",0.0523
"hispanic_f","Hispanic",378,0,0,0.3333,0.1978,0.2944,"wilcox",0.0523
"asian_f","Non-Asian",697,0,0,0.3333,0.1787,0.2773,"wilcox",0.2064
"asian_f","Asian",131,0,0,0.25,0.1369,0.236,"wilcox",0.2064
"female_f","Male",361,0,0,0.25,0.1512,0.2565,"wilcox",0.0408
"female_f","Female",467,0,0,0.3333,0.1883,0.2817,"wilcox",0.0408
"sex_min_f","Non-sex-minority",581,0,0,0.3333,0.1662,0.2652,"wilcox",0.3735
"sex_min_f","Sexual minority",247,0,0,0.3333,0.186,0.2859,"wilcox",0.3735
"cohort_f","C1",591,0,0,0.3333,0.1741,0.2756,"wilcox",0.9585
"cohort_f","C2",237,0,0,0.3333,0.167,0.2615,"wilcox",0.9585
"sch_type_f","Asian-majority",297,0,0,0.25,0.1574,0.247,"kruskal",0.3142
"sch_type_f","Hispanic-majority",363,0,0,0.3333,0.1905,0.2871,"kruskal",0.3142
"sch_type_f","Other",168,0,0,0.25,0.1585,0.2773,"kruskal",0.3142
"gp_label","10Fa",222,0,0,0.1667,0.1137,0.2323,"kruskal",0.0054
"gp_label","10Sp",189,0,0,0.3333,0.1948,0.2725,"kruskal",0.0054
"gp_label","11Fa",139,0,0,0.3333,0.182,0.2762,"kruskal",0.0054
"gp_label","11Sp",127,0,0,0.3333,0.1942,0.2798,"kruskal",0.0054
"gp_label","12Fa",89,0,0,0.3333,0.1974,0.2908,"kruskal",0.0054
"gp_label","12Sp",62,0,0,0.3333,0.2081,0.318,"kruskal",0.0054
"school_f","101",46,0,0,0.15,0.1246,0.266,"kruskal",0
"school_f","102",32,0,0,0,0.0677,0.2068,"kruskal",0
"school_f","103",18,0,0,0,0.0389,0.1243,"kruskal",0
"school_f","104",93,0,0,0.3333,0.1782,0.2836,"kruskal",0
"school_f","105",32,0,0,0,0.0531,0.1502,"kruskal",0
"school_f","106",41,0,0,0,0.128,0.3119,"kruskal",0
"school_f","107",71,0,0,0.3667,0.2005,0.3038,"kruskal",0
"school_f","112",72,0,0,0.3333,0.204,0.2723,"kruskal",0
"school_f","113",60,0,0,0.2976,0.1998,0.2598,"kruskal",0
"school_f","114",126,0.1667,0,0.4,0.2372,0.2874,"kruskal",0
"school_f","201",29,0,0,0.1667,0.1489,0.278,"kruskal",0
"school_f","212",59,0,0,0.2917,0.1573,0.2462,"kruskal",0
"school_f","213",56,0,0,0.2708,0.1497,0.2511,"kruskal",0
"school_f","214",93,0,0,0.3333,0.1893,0.2742,"kruskal",0
"mdd_bin","MDD low (0.00-0.70)",232,0,0,0.3333,0.1976,0.2799,"kruskal",0.1662
"mdd_bin","MDD mid (0.70-1.40)",206,0,0,0.3333,0.1967,0.2758,"kruskal",0.1662
"mdd_bin","MDD high (1.40-3.00)",217,0,0,0.2857,0.159,0.2611,"kruskal",0.1662
"gad_bin","GAD low (0.00-0.67)",238,0,0,0.3333,0.191,0.2731,"kruskal",0.791
"gad_bin","GAD mid (0.67-1.33)",207,0,0,0.3333,0.1756,0.2695,"kruskal",0.791
"gad_bin","GAD high (1.33-3.00)",216,0,0,0.3333,0.1863,0.2739,"kruskal",0.791
"friends_ecig_f","0",224,0,0,0.25,0.1514,0.2615,"kruskal",0.033
"friends_ecig_f","1",95,0,0,0.3333,0.2042,0.2676,"kruskal",0.033
"friends_ecig_f","2",87,0,0,0.3333,0.2152,0.296,"kruskal",0.033
"friends_ecig_f","3",73,0.1429,0,0.5,0.2574,0.3179,"kruskal",0.033
"friends_ecig_f","4",37,0,0,0.4,0.2694,0.3513,"kruskal",0.033
"friends_ecig_f","5",69,0,0,0.3333,0.2078,0.2956,"kruskal",0.033
