"parameter","OR","p","sig"
"(Intercept)",0.021,0,"**"
"exposure",2.34,5e-04,"**"
"GP4",1.003,0.9861,""
"GP5",1.057,0.7151,""
"GP6",0.683,0.0322,"*"
"GP7",0.572,0.0037,"**"
"GP8",0.007,4e-04,"**"
"cohortC2",1.054,0.8194,""
"female",1.209,0.1083,""
"hispanic",1.11,0.4861,""
"asian",0.799,0.1711,""
"par_edu",0.979,0.6384,""
"School102",0.644,0.2478,""
"School103",0.825,0.6226,""
"School104",1.155,0.6037,""
"School105",1.218,0.5803,""
"School106",0.779,0.4425,""
"School107",1.313,0.3376,""
"School112",1.187,0.5219,""
"School113",1.002,0.9929,""
"School114",1.509,0.1134,""
"gad",0.785,0.0275,"*"
"mdd",1.61,0,"**"
"friends_ecig",1.439,0,"**"
"sex_min",1.2,0.1347,""
