"parameter","OR.NoExp","p.NoExp","sig.NoExp","OR.NoFriends","p.NoFriends","sig.NoFriends","OR.Neither","p.Neither","sig.Neither","OR.LowThr","p.LowThr","sig.LowThr"
"asian",2.501,0.0529,"",2.17,0.1234,"",3.448,0.0209,"*",3.249,0.0113,"*"
"cohortC2",1.638,0.222,"",0.968,0.9382,"",1.716,0.2324,"",0.896,0.7885,""
"expo_gp8",NA,NA,NA,1.091,0.8874,"",NA,NA,NA,NA,NA,NA
"expo_lag",NA,NA,NA,0.16,0.0864,"",NA,NA,NA,NA,NA,NA
"female",0.713,0.3557,"",1.175,0.6811,"",1.083,0.841,"",0.875,0.7187,""
"friends_ecig_gp3",0.745,0.0505,"",0.823,0.2819,"",0.561,0.01,"**",0.866,0.3022,""
"friends_ecig_gp8",0.856,0.1918,"",0.6,5e-04,"**",0.62,0.004,"**",0.85,0.1536,""
"friends_ecig_toa",0.724,0.0105,"*",NA,NA,NA,NA,NA,NA,0.785,0.0343,"*"
"gad",1.215,0.5168,"",1.501,0.211,"",1.719,0.1012,"",1.015,0.9617,""
"GP4",1.615,0.4172,"",NA,NA,NA,0.757,0.7017,"",0.699,0.562,""
"GP5",1.867,0.3248,"",1.872,0.1958,"",1.953,0.368,"",0.716,0.6149,""
"GP6",1.674,0.4457,"",2.114,0.1349,"",2.034,0.3695,"",0.537,0.3796,""
"GP7",0.946,0.9417,"",1.514,0.4919,"",0.95,0.9534,"",0.291,0.1057,""
"GP8",0.834,0.831,"",1.896,0.3804,"",1.154,0.8907,"",0.277,0.1288,""
"hispanic",2.41,0.0563,"",1.055,0.9127,"",1.823,0.2623,"",1.715,0.2015,""
"in_degree_gp3",0.949,0.4824,"",0.987,0.8685,"",0.97,0.7183,"",0.97,0.666,""
"mdd",1.047,0.8884,"",0.506,0.0545,"",0.479,0.0465,"*",0.772,0.4335,""
"out_degree_gp3",0.822,0.0501,"",1.086,0.4284,"",0.939,0.5561,"",0.949,0.6004,""
"par_edu",0.891,0.3833,"",0.941,0.6818,"",1.046,0.7626,"",0.93,0.5991,""
"sex_min",1.202,0.5947,"",1.221,0.6002,"",1.869,0.1124,"",1.419,0.3185,""
"sm_ecig_any_toa",2.402,0.0095,"**",0.421,0.0127,"*",0.846,0.6296,"",1.551,0.1837,""
