"parameter","OR.HighExp","p.HighExp","sig.HighExp","OR.HighFriends","p.HighFriends","sig.HighFriends","OR.BothHigh","p.BothHigh","sig.BothHigh"
"asian",0.506,0,"**",0.341,0,"**",0.358,0,"**"
"cohortC2",0.779,0.0255,"*",0.739,0.0018,"**",0.838,0.2162,""
"female",1.031,0.7894,"",1.293,0.0061,"**",1.592,0.0014,"**"
"friends_ecig_gp3",1.118,0.1621,"",NA,NA,NA,1.989,0,"**"
"friends_ecig_gp8",1.461,0,"**",NA,NA,NA,3.339,0,"**"
"gad",0.929,0.4757,"",1.063,0.4754,"",0.94,0.6306,""
"hispanic",1.04,0.8008,"",1.148,0.2472,"",0.987,0.9414,""
"in_degree_gp3",1.022,0.3998,"",1.008,0.7072,"",1.029,0.3615,""
"mdd",1.194,0.1359,"",1.52,0,"**",1.541,0.003,"**"
"out_degree_gp3",1.382,0,"**",1.043,0.0943,"",1.25,0,"**"
"par_edu",0.975,0.572,"",1.009,0.8062,"",0.964,0.509,""
"sex_min",0.766,0.0368,"*",0.84,0.1006,"",0.77,0.1044,""
