"parameter","OR","p","sig"
"(Intercept)",0.001,0,"**"
"GP4",40.007,0.0095,"**"
"GP5",70.041,0.0028,"**"
"GP6",91.936,0.0015,"**"
"GP7",129.041,6e-04,"**"
"GP8",189.083,2e-04,"**"
"cohortC2",2.341,0.0628,""
"female",1.342,0.1129,""
"hispanic",1.142,0.5707,""
"asian",0.613,0.0647,""
"par_edu",1.044,0.5808,""
"School102",1.215,0.7944,""
"School103",1.198,0.8277,""
"School104",2.757,0.0397,"*"
"School105",0.368,0.5137,""
"School106",1.697,0.4192,""
"School107",2.187,0.1247,""
"School112",2.161,0.1198,""
"School113",2.422,0.0778,""
"School114",3.218,0.0144,"*"
"gad",1.021,0.9138,""
"mdd",0.782,0.2204,""
"friends_ecig",1.197,4e-04,"**"
"sex_min",0.858,0.4306,""
