"model","mh","title","parameter","estimate","se","zval","pval","or","ci_lo","ci_hi","n_obs"
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","(Intercept)",-1.8605,0.3861,-4.819,0,0.1556,-2.6172,-1.1038,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","GP4",-0.0602,0.3298,-0.1825,0.8552,0.9416,-0.7066,0.5862,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","GP5",-0.0502,0.3467,-0.1447,0.885,0.9511,-0.7297,0.6294,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","GP6",0.1445,0.3617,0.3995,0.6897,1.1554,-0.5644,0.8534,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","GP7",0.3184,0.3613,0.8812,0.3786,1.3749,-0.3898,1.0265,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","GP8",0.5009,0.3774,1.3275,0.185,1.6503,-0.2387,1.2405,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","cohortC2",-0.3366,0.2043,-1.6476,0.1001,0.7142,-0.737,0.0638,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","female",0.1079,0.1765,0.6115,0.5412,1.114,-0.2381,0.454,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","hispanic",0.4972,0.1857,2.6773,0.0077,1.6441,0.1332,0.8612,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","asian",-0.0369,0.2518,-0.1465,0.8836,0.9638,-0.5304,0.4566,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","sex_min",0.0973,0.1876,0.5188,0.6041,1.1022,-0.2704,0.4651,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","gad",-0.0196,0.1044,-0.1881,0.8509,0.9806,-0.2242,0.1849,481
"A_quasi_all","gad","(A) Quasibinomial — all (Yuchan baseline) — GAD","friends_ecig",0.1267,0.0483,2.6234,0.009,1.135,0.032,0.2213,481
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","(Intercept)",-1.7754,0.3924,-4.524,0,0.1694,-2.5446,-1.0062,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","GP4",-0.0694,0.3347,-0.2073,0.8358,0.933,-0.7253,0.5866,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","GP5",0.0027,0.352,0.0078,0.9938,1.0027,-0.6871,0.6926,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","GP6",0.153,0.3662,0.4179,0.6762,1.1654,-0.5647,0.8708,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","GP7",0.3042,0.3663,0.8305,0.4067,1.3555,-0.4137,1.0221,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","GP8",0.4981,0.381,1.3071,0.1918,1.6455,-0.2488,1.2449,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","cohortC2",-0.3253,0.2069,-1.5722,0.1166,0.7223,-0.7309,0.0802,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","female",0.1294,0.1784,0.7254,0.4686,1.1382,-0.2203,0.4792,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","hispanic",0.4881,0.1883,2.5923,0.0098,1.6292,0.119,0.8571,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","asian",-0.0422,0.2559,-0.1648,0.8691,0.9587,-0.5438,0.4595,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","sex_min",0.1355,0.1914,0.708,0.4793,1.1451,-0.2396,0.5106,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","mdd",-0.1495,0.1135,-1.3176,0.1883,0.8611,-0.3719,0.0729,474
"A_quasi_all","mdd","(A) Quasibinomial — all (Yuchan baseline) — MDD","friends_ecig",0.138,0.0492,2.8051,0.0052,1.148,0.0416,0.2344,474
"B_quasi_noiso","gad","(B) Quasibinomial — non-isolates only — GAD","(Intercept)",-1.4949,0.3848,-3.8844,1e-04,0.2243,-2.2492,-0.7406,404
