"model","n","parameter","estimate","se","OR","p","separated"
"A_yuchan_asis",406,"(Intercept)",-20.6339,748.9764,0,0.97802,TRUE
"A_yuchan_asis",406,"factor(toa)4",17.2297,748.9762,30391158.9877,0.98165,TRUE
"A_yuchan_asis",406,"factor(toa)5",17.8768,748.9762,58047885.2129,0.98096,TRUE
"A_yuchan_asis",406,"factor(toa)6",18.11,748.9762,73293109.3681,0.98071,TRUE
"A_yuchan_asis",406,"factor(toa)7",18.4601,748.9762,104020735.8324,0.98034,TRUE
"A_yuchan_asis",406,"factor(toa)8",18.843,748.9762,152543380.6886,0.97993,TRUE
"A_yuchan_asis",406,"cohortC2",0.9698,0.4698,2.6375,0.03896,FALSE
"A_yuchan_asis",406,"female",0.2647,0.1847,1.3031,0.15182,FALSE
"A_yuchan_asis",406,"hispanic",0.0727,0.2267,1.0754,0.74832,FALSE
"A_yuchan_asis",406,"asian",-0.5149,0.2658,0.5976,0.05271,FALSE
"A_yuchan_asis",406,"par_edu",0.0286,0.0594,1.029,0.63011,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)102",0.1616,0.7819,1.1754,0.83622,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)103",0.0347,0.8863,1.0353,0.96874,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)104",1.0948,0.5067,2.9887,0.03071,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)105",-16.4302,2000.2012,0,0.99345,TRUE
"A_yuchan_asis",406,"factor(school_c1fe)106",0.6854,0.6472,1.9845,0.2896,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)107",0.8905,0.5275,2.4365,0.09134,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)112",0.8445,0.5066,2.3268,0.09548,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)113",0.8905,0.5099,2.4363,0.08073,FALSE
"A_yuchan_asis",406,"factor(school_c1fe)114",1.2881,0.493,3.6257,0.00898,FALSE
"A_yuchan_asis",406,"gad",-0.031,0.189,0.9695,0.86977,FALSE
"A_yuchan_asis",406,"mdd",-0.2124,0.1979,0.8086,0.28311,FALSE
